Gene,Count
Ceacam20&Gm10662&Gm10662&Gm10665&Gm10665&Gm10666&Gm10666&Gm10670&Gm10670&Gm16442&Gm16442&Gm16451&Gm16451&Gm4133&Gm4133&Gm4141&Gm4141&Gm4175&Gm4175&Gm4175&Gm4177&Gm4177&Gm4187&Gm4187&Gm4201&Gm4201&Gm4214&Gm4214&Gm4214&Gm4216&Gm4216&Gm4498&Gm4498&Gm4498&Gm4541&Gm4541&Gm4541&Gm4541&Gm4541&Gm4565&Gm4565&Gm4567&Gm4567&Gm5725&Gm5725&Gm5726&Gm5726&Gm5728&Gm5728&Gm5891&Gm5891&Gm6164&Gm6164&Gm6902&Gm6902&Gm6902&Gm8453&Gm8453&Gm8453&Gm8653&Gm8653&Gm8660&Gm8660&Gm8677&Gm8677&Gm8693&Gm8720&Gm8720&LOC101055864&LOC101055864&Nlrp4e&Nlrp5&Nlrp9b&V1rd18&V1rd19&Vmn1r-ps79&Vmn1r-ps79&Vmn1r100&Vmn1r100&Vmn1r101&Vmn1r101&Vmn1r103&Vmn1r104&Vmn1r104&Vmn1r107&Vmn1r107&Vmn1r107&Vmn1r107&Vmn1r107&Vmn1r111&Vmn1r111&Vmn1r111&Vmn1r111&Vmn1r112&Vmn1r113&Vmn1r114&Vmn1r115&Vmn1r116&Vmn1r117&Vmn1r118&Vmn1r118&Vmn1r118&Vmn1r119&Vmn1r120&Vmn1r121&Vmn1r122&Vmn1r123&Vmn1r124&Vmn1r125&Vmn1r126&Vmn1r127&Vmn1r128&Vmn1r129&Vmn1r130&Vmn1r130&Vmn1r130&Vmn1r130&Vmn1r130&Vmn1r131&Vmn1r131&Vmn1r131&Vmn1r131&Vmn1r132&Vmn1r132&Vmn1r135&Vmn1r135&Vmn1r137&Vmn1r137&Vmn1r137&Vmn1r137&Vmn1r137&Vmn1r138&Vmn1r138&Vmn1r138&Vmn1r138&Vmn1r139&Vmn1r139&Vmn1r142&Vmn1r142&Vmn1r143&Vmn1r143&Vmn1r148&Vmn1r149&Vmn1r149&Vmn1r151&Vmn1r152&Vmn1r152&Vmn1r155&Vmn1r155&Vmn1r155&Vmn1r155&Vmn1r155&Vmn1r157&Vmn1r158&Vmn1r159&Vmn1r160&Vmn1r163&Vmn1r163&Vmn1r165&Vmn1r165&Vmn1r165&Vmn1r165&Vmn1r165&Vmn1r166&Vmn1r166&Vmn1r166&Vmn1r166&Vmn1r167&Vmn1r168&Vmn1r169&Vmn1r170&Vmn1r171&Vmn1r172&Vmn1r173&Vmn1r174&Vmn1r175&Vmn1r176&Vmn1r177&Vmn1r178&Vmn1r179&Vmn1r180&Vmn1r181&Vmn1r183&Vmn1r91&Vmn1r93&Vmn1r93&Vmn1r94&Vmn1r94&Vmn1r95&Vmn1r95,4
Nlrp9b,4
Vmn1r91,4
Gm16442,4
Gm16451,4
Gm10666,4
Vmn1r93,4
Vmn1r142,4
Vmn1r94,4
Vmn1r143,4
Vmn1r95,4
Gm6164,4
Gm8653,4
Gm4498,4
Gm8453,4
Vmn1r118,4
Gm4133,4
Gm4187,4
Vmn1r-ps79,4
Gm5728,4
Gm8660,4
Vmn1r100,4
Vmn1r101,4
Vmn1r149,4
Gm10665,4
Gm10670,4
Vmn1r103,4
Vmn1r104,4
Vmn1r152,4
Gm5726,4
Gm8677,4
Gm4141,4
Gm4201,4
Gm4565,4
LOC101055864,4
Gm4541,4
Vmn1r107,4
Vmn1r130,4
Vmn1r137,4
Vmn1r155,4
Vmn1r165,4
Vmn1r111,4
Vmn1r131,4
Vmn1r138,4
Vmn1r166,4
Gm6902,4
Gm4567,4
Vmn1r112,4
Vmn1r113,4
Vmn1r114,4
Vmn1r115,4
Vmn1r116,4
Vmn1r117,4
Vmn1r119,4
Vmn1r120,4
Vmn1r121,4
Vmn1r122,4
Vmn1r123,4
Vmn1r124,4
Vmn1r125,4
Vmn1r126,4
Gm4175,4
Gm4214,4
Vmn1r127,4
Vmn1r128,4
Vmn1r129,4
Vmn1r132,4
Vmn1r139,4
Gm4177,4
Gm4216,4
Vmn1r135,4
Vmn1r163,4
Gm5725,4
Gm8720,4
Gm10662,4
Gm5891,4
Vmn1r148,4
Vmn1r151,4
Gm8693,4
Vmn1r157,4
Vmn1r158,4
Vmn1r159,4
Vmn1r160,4
Nlrp4e,4
Nlrp5,4
Vmn1r167,4
Vmn1r168,4
Vmn1r169,4
Vmn1r170,4
Vmn1r171,4
Vmn1r172,4
Vmn1r173,4
Vmn1r174,4
Vmn1r175,4
Vmn1r176,4
Vmn1r177,4
Vmn1r178,4
Vmn1r179,4
Vmn1r180,4
Vmn1r181,4
