Array	Sample	Batch	Covariate
MB-5019	Normal	2	group 12
MB-5058	Normal	2	group 12
MB-5081	Normal	2	group 12
MB-5110	Normal	2	group 12
MB-5113	Normal	2	group 12
MB-5145	Normal	2	group 12
MB-5150	Normal	2	group 12
MB-5154	Normal	2	group 12
MB-5155	Normal	2	group 12
MB-5157	Normal	2	group 12
MB-5161	Normal	2	group 12
MB-5164	Normal	2	group 12
MB-5171	Normal	2	group 12
MB-5178	Normal	2	group 12
MB-5214	Normal	2	group 12
MB-5238	Normal	2	group 12
MB-5277	Normal	2	group 12
MB-5278	Normal	2	group 12
MB-5280	Normal	2	group 12
MB-5308	Normal	2	group 12
MB-5326	Normal	2	group 12
MB-5345	Normal	2	group 12
MB-5351	Normal	2	group 12
MB-5364	Normal	2	group 12
MB-5368	Normal	2	group 12
MB-5453	Normal	2	group 12
MB-5533	Normal	2	group 12
MB-5640	Normal	2	group 12
MB-5652	Normal	2	group 12
MB-5656	Normal	2	group 12
MB-6014	Normal	2	group 12
MB-6019	Normal	2	group 12
MB-6023	Normal	2	group 12
MB-6042	Normal	2	group 12
MB-6059	Normal	2	group 12
MB-6063	Normal	2	group 12
MB-6082	Normal	2	group 12
MB-6092	Normal	2	group 12
MB-6101	Normal	2	group 12
MB-6103	Normal	2	group 12
MB-6107	Normal	2	group 12
MB-6125	Normal	2	group 12
MB-6194	Normal	2	group 12
MB-6204	Normal	2	group 12
MB-6208	Normal	2	group 12
MB-6226	Normal	2	group 12
MB-6231	Normal	2	group 12
MB-6234	Normal	2	group 12
MB-6239	Normal	2	group 12
MB-6319	Normal	2	group 12
MB-7003	Normal	2	group 12
MB-7057	Normal	2	group 12
MB-7058	Normal	2	group 12
MB-7061	Normal	2	group 12
MB-7074	Normal	2	group 12
MB-7085	Normal	2	group 12
MB-7127	Normal	2	group 12
MB-7187	Normal	2	group 12
MB-7227	Normal	2	group 12
MB-7228	Normal	2	group 12
MB-7264	Normal	2	group 12
MB-7289	Normal	2	group 12
Papillary(1053-1)	Papillary	1	group 13
Papillary(1086-1)	Papillary	1	group 13
Papillary(1101-2)	Papillary	1	group 13
Papillary(1139-4)	Papillary	1	group 13
Papillary(1140-1)	Papillary	1	group 13
Papillary(1165-1)	Papillary	1	group 13
Papillary(1165-3)	Papillary	1	group 13
Papillary(1313-1)	Papillary	1	group 13
Papillary(1313-2)	Papillary	1	group 13
Papillary(1352-1)	Papillary	1	group 13
Papillary(1445-2)	Papillary	1	group 13
Papillary(1505-1)	Papillary	1	group 13
Papillary(1567-2)	Papillary	1	group 13
Papillary(1796-1)	Papillary	1	group 13
Papillary(338-1)	Papillary	1	group 13
Papillary(339-1)	Papillary	1	group 13
Papillary(381-2)	Papillary	1	group 13
Papillary(381-3)	Papillary	1	group 13
Papillary(381-4)	Papillary	1	group 13
Papillary(382-1)	Papillary	1	group 13
Papillary(384-1)	Papillary	1	group 13
Papillary(494-1)	Papillary	1	group 13
Papillary(523-1)	Papillary	1	group 13
Papillary(523-3)	Papillary	1	group 13
Papillary(534-2)	Papillary	1	group 13
Papillary(589-1)	Papillary	1	group 13
Papillary(599-1)	Papillary	1	group 13
Papillary(641-1)	Papillary	1	group 13
Papillary(736-1)	Papillary	1	group 13
Papillary(745-1)	Papillary	1	group 13
Papillary(745-2)	Papillary	1	group 13
Papillary(746-1)	Papillary	1	group 13
Papillary(957-1)	Papillary	1	group 13
Papillary(B1503-2)	Papillary	1	group 13
Papillary(B1503-3)	Papillary	1	group 13
Solid(1088-1)	Solid	1	group 14
Solid(1269-2)	Solid	1	group 14
Solid(1347-1)	Solid	1	group 14
Solid(1806-1)	Solid	1	group 14
Solid(1807-1)	Solid	1	group 14
Squamous(1066-1)	Squamous	1	group 15
Squamous(1066-2)	Squamous	1	group 15
Squamous(1346-1)	Squamous	1	group 15
Squamous(1359-1)	Squamous	1	group 15
Squamous(1445-1)	Squamous	1	group 15
Squamous(1569-1)	Squamous	1	group 15
Squamous(1575-2)	Squamous	1	group 15
Squamous(521-1)	Squamous	1	group 15
Squamous(525-1)	Squamous	1	group 15
Squamous(598-1)	Squamous	1	group 15
