Array	Sample	Batch	Covariate
MB-4354	Her2	2	group 5
MB-4360	Her2	2	group 5
MB-4395	Her2	2	group 5
MB-4434	Her2	2	group 5
MB-4548	Her2	2	group 5
MB-4626	Her2	2	group 5
MB-4640	Her2	2	group 5
MB-4643	Her2	2	group 5
MB-4667	Her2	2	group 5
MB-4724	Her2	2	group 5
MB-4725	Her2	2	group 5
MB-4731	Her2	2	group 5
MB-4745	Her2	2	group 5
MB-4763	Her2	2	group 5
MB-4770	Her2	2	group 5
MB-4836	Her2	2	group 5
MB-4879	Her2	2	group 5
MB-4886	Her2	2	group 5
MB-4928	Her2	2	group 5
MB-4929	Her2	2	group 5
MB-4935	Her2	2	group 5
MB-4952	Her2	2	group 5
MB-4982	Her2	2	group 5
MB-4993	Her2	2	group 5
MB-5004	Her2	2	group 5
MB-5008	Her2	2	group 5
MB-5063	Her2	2	group 5
MB-5072	Her2	2	group 5
MB-5093	Her2	2	group 5
MB-5120	Her2	2	group 5
MB-5148	Her2	2	group 5
MB-5172	Her2	2	group 5
MB-5174	Her2	2	group 5
MB-5213	Her2	2	group 5
MB-5231	Her2	2	group 5
MB-5259	Her2	2	group 5
MB-5275	Her2	2	group 5
MB-5312	Her2	2	group 5
MB-5313	Her2	2	group 5
MB-5315	Her2	2	group 5
MB-5327	Her2	2	group 5
MB-5332	Her2	2	group 5
MB-5366	Her2	2	group 5
MB-5381	Her2	2	group 5
MB-5409	Her2	2	group 5
MB-5411	Her2	2	group 5
MB-5417	Her2	2	group 5
MB-5441	Her2	2	group 5
MB-5446	Her2	2	group 5
MB-5483	Her2	2	group 5
MB-5498	Her2	2	group 5
MB-5511	Her2	2	group 5
MB-5535	Her2	2	group 5
MB-5549	Her2	2	group 5
MB-5584	Her2	2	group 5
MB-5593	Her2	2	group 5
MB-6007	Her2	2	group 5
MB-6039	Her2	2	group 5
MB-6044	Her2	2	group 5
MB-6047	Her2	2	group 5
MB-6048	Her2	2	group 5
MB-6049	Her2	2	group 5
MB-6085	Her2	2	group 5
