,0,0
189,POU1F1,-37.04818492385215
190,FGL1,-36.87973254995248
191,CAMK4,-36.87874544916353
192,TMEM45A,-36.82048262943515
193,ID4,-36.791587408698575
194,RHOH,-36.72768913396688
195,ALDH3A1,-36.654290937275285
196,ELN,-36.54543505782227
197,CPLX2,-36.4411625526086
198,FNDC4,-36.343954146681625
199,ASTN2,-36.34214442702603
200,IMPG1,-36.312525453557456
201,ACTA1,-36.11825631296576
202,ZSCAN5B,-36.07349713601308
203,KRT32,-36.017212596223466
204,SNAP91,-35.931095686100115
205,GABRG3,-35.57286201619057
206,PDYN,-35.53056993687034
207,FOXG1,-35.51955399839892
208,CACNG1,-35.51189164055738
209,UCP1,-35.493467840955816
210,CPLX4,-35.47354889865473
211,PARK2,-35.43321179869522
212,AMH,-35.396246715175614
213,TMLHE,-35.31454544184685
214,ROBO3,-35.305480156987365
215,SLCO3A1,-35.25104853107972
216,TRDN,-35.20350210566042
217,GIP,-35.172733547469306
218,FNDC7,-35.131244761280044
219,CRYGN,-35.127058299400005
220,SCN3A,-34.98137649905493
221,IGF2BP1,-34.94015392313648
222,DPP3,-34.85125222110846
223,ST6GALNAC5,-34.748905142127775
224,CACNA1D,-34.73178527853314
225,PDE1C,-34.6668692556597
226,FANCI,-34.65011730251039
227,GPR50,-34.5843766989588
228,KRTAP4-2,-34.5616895860663
229,RSPH9,-34.55523416193841
230,GANC,-34.46154584652299
231,SOSTDC1,-34.40618166717983
232,SOAT2,-34.30868910490549
233,SLC22A1,-34.258462820302896
234,PITX1,-34.23306486224698
235,CHAD,-34.22056642614109
236,P4HA2,-34.20867854618112
237,CDC25C,-34.13859254150777
238,HSPA4L,-34.073331590850735
239,TBX15,-33.97431108777496
240,PLEKHH1,-33.797391246673996
241,RAD9B,-33.7490037593162
242,FBLN7,-33.68942697202498
243,SORCS3,-33.66914738207224
244,SEMA6A,-33.60337221621929
245,P2RX7,-33.59255570236599
246,SYT8,-33.56739163759937
247,DKK4,-33.55891947613499
248,BBOX1,-33.526051352317374
249,UNCX,-33.51941489082417
250,GRM1,-33.43195241656993
251,POU3F4,-33.40060081702296
252,CXCL1,-33.369401061916335
253,NTN4,-33.36411338804919
254,DNAJB13,-33.34630852631557
255,SLC4A8,-33.33777475164753
256,EHBP1,-33.329423013464535
257,KLRK1,-33.305653141379096
258,KIF20A,-33.26617055207164
259,CDCA3,-33.22337636174875
260,NDRG4,-33.207481174305855
261,SEMA5A,-33.19946662472323
262,LSM14A,-33.18425005266284
263,LTC4S,-33.17606134365808
264,PACRG,-33.166595448931425
265,DGKE,-33.15164459600465
266,KCND3,-33.125268294240236
267,SHC3,-33.064090880966255
268,CACNA2D1,-33.016449574936274
269,BMP5,-33.005378426261075
270,KCNA1,-32.97800075305177
271,TGFBR3,-32.973659171116914
272,IFNA1,-32.97225207867409
273,ANKRD22,-32.85242671048164
274,ZBED3,-32.75826915394393
275,KIF2C,-32.74173503464402
276,CACNA1G,-32.66394978269908
277,FANCC,-32.66329097640325
278,PHGDH,-32.64188299086806
279,GRIN2A,-32.528673964054036
280,OBP2A,-32.499864742289105
281,ST8SIA1,-32.4939455328232
282,GATA6,-32.4835298120412
283,LPIN3,-32.46664033328952
284,CWH43,-32.380170795760506
285,LIPF,-32.330531062829614
286,PEX5L,-32.27662272512798
287,CALCR,-32.274508344208456
288,MCM10,-32.2438447614882
289,GPX2,-32.170123790712665
290,EGR4,-32.10523419680249
291,CDKN1A,-32.096593447842906
292,SPO11,-32.09572932336436
293,DNAH8,-32.07753470227586
294,CLIC3,-32.06152947419903
295,TCTE1,-32.00759205227102
296,AURKB,-32.006724761525604
297,MATN2,-31.921891629331483
298,ADCY8,-31.896428191518993
299,CLPS,-31.867624841902632
300,NRAP,-31.836309043531664
301,RBBP9,-31.6530627453547
302,DNAJA4,-31.60724526467609
303,MATN1,-31.59958887369821
304,DSC1,-31.595730169621326
305,ZPBP,-31.5620299363539
306,KCNIP1,-31.56187646972972
307,BNIPL,-31.544568570221315
308,INVS,-31.372168331118417
309,RFX2,-31.364291531181248
310,WNT7B,-31.356298635375158
311,CDC20,-31.3287412880496
312,PIGR,-31.306764616298523
313,PPP2R2B,-31.28448816466138
314,DLX6,-31.252848379981774
315,PSEN1,-31.244111561246413
316,PIWIL2,-31.14477487434722
317,GNA15,-31.127813884176053
318,PPP2R4,-31.127693449576704
319,RHBDL3,-31.12642599852171
320,C1QTNF3,-31.094940771326225
321,SLC39A8,-31.081249656306426
322,ACOT7,-31.065782183131525
323,NR4A3,-31.02202705917166
324,SERPINB2,-31.003240446278674
325,KRT17,-31.002734336626446
326,ITGA2B,-30.911709772831454
327,CCDC65,-30.909802388116926
328,GPR146,-30.892717021812665
329,WISP1,-30.89059640021974
330,SMC1B,-30.884951586217003
331,KRT82,-30.882272933793864
332,GABRA1,-30.848978527102762
333,MALL,-30.830828060031752
334,CFB,-30.738548054356578
335,SIX3,-30.73313803511289
336,PKIB,-30.726860876361762
337,CHST4,-30.709978600433047
338,IHH,-30.692311719259624
339,GLIS1,-30.669261134824726
340,SNX22,-30.655266734494692
341,CENPE,-30.589548054235692
342,TNXB,-30.574042912177813
343,LRRC2,-30.513081515642448
344,CAV3,-30.399754368917765
345,ACACB,-30.35590145088195
346,AIRE,-30.33299467877118
347,CD70,-30.31742016960475
348,FOXN4,-30.291238248323047
349,CDK18,-30.242507539643864
350,CDCA5,-30.238684529536066
351,KLF12,-30.23504001323289
352,CPS1,-30.142371437306885
353,ADCY3,-30.092987287641904
354,SCGB3A1,-30.04374212997027
355,GPR162,-30.01069363896954
356,ELAVL4,-29.995252876610923
357,TK1,-29.988518637009182
358,ESR1,-29.899571917159456
359,CLCA4,-29.892925548614187
360,CCR9,-29.800465067664472
361,SULT2B1,-29.771873426602674
362,FCHO1,-29.605990001416416
363,TSPO2,-29.591845538571505
364,GNGT1,-29.585875602113344
365,GAD1,-29.41779393466267
366,SLC17A9,-29.382829981013458
367,B3GALT5,-29.34815581615328
368,MS4A3,-29.31429895791437
369,GCK,-29.307739988533115
370,SEZ6L2,-29.286684929739586
371,HOXB2,-29.26794243588205
372,TEX2,-29.229824696900835
373,VIT,-29.227774181656763
374,ZIC4,-29.067084822105027
375,CXCR2,-29.02681331551935
376,GALR2,-29.025510381862883
377,NEIL3,-29.0110094942292
378,SLC12A3,-29.009807224371016
379,PRC1,-28.99991847269086
380,HTR5A,-28.944607166006183
381,ASB9,-28.917295770713302
382,HOXB9,-28.88613874967948
383,CLSTN2,-28.861258773163346
384,ZWINT,-28.835434820022503
385,SLC1A2,-28.729046407006294
386,MRC2,-28.656028102551634
387,TMEM79,-28.655669277270135
388,NCAPG,-28.6330288203204
389,CHGB,-28.598168475323472
390,EDN2,-28.57632180092023
391,NPPB,-28.575520198626165
392,AHSG,-28.569266636536867
393,NOG,-28.56722585864001
394,SLC35C2,-28.56351275618303
395,DCX,-28.5597038216855
396,F3,-28.48053296514712
397,SLC3A1,-28.459955314960123
398,SF3B5,-28.452677303444133
399,PTH2,-28.394442635853117
400,CCNB2,-28.367651249834186
401,ENO2,-28.36576340961514
402,OPN1SW,-28.332504841715945
403,GP9,-28.29946715286493
404,ITGA9,-28.28822121891682
405,ALDH8A1,-28.28391909404648
406,PVR,-28.257857497714834
407,WNT9A,-28.243777267644838
408,MXD3,-28.203591014246925
409,MOG,-28.17300345389406
410,KIF18A,-28.165069185957
411,HIST1H1E,-28.13382059645707
412,MOGAT1,-28.092407065148766
413,KCNJ5,-28.08842944729503
414,SLC1A5,-28.074853594881414
415,RPSA,-28.07343137770946
416,GRB10,-28.018247507591244
417,LRRC6,-28.014876831619688
418,BIRC5,-27.999881058083886
419,EXO1,-27.935802091827718
420,WDR86,-27.90344695435085
421,DUSP2,-27.892632315810957
422,CD207,-27.892160570328727
423,SATB1,-27.852801017485103
424,SLIT3,-27.84621119150606
425,GJC3,-27.773987603906846
426,ELF4,-27.748142723749336
427,BMPR1B,-27.707825376228822
428,AMBP,-27.651065420393046
429,NAT8,-27.62463008753691
430,AVPI1,-27.596211641839304
431,ABCC3,-27.589449994694238
432,GPR3,-27.5860791945143
433,KRT86,-27.580273063798188
434,NMNAT3,-27.478818285112833
435,SLC26A6,-27.46253231663197
436,GNAI1,-27.461118528634152
437,SGOL1,-27.44280463260857
438,DLX5,-27.394262213218052
439,APOM,-27.347548571944664
440,MYT1L,-27.295386912168485
441,LY6G6D,-27.276541540634675
442,KLK7,-27.26716056402299
443,PI15,-27.254712449208895
444,MSLN,-27.24337693649434
445,ACPP,-27.13990074970438
446,HEMGN,-27.08328822871298
447,SLC20A2,-27.07395669593015
448,VIL1,-27.052372959618744
449,RASA4,-27.018355007435012
450,KCNC4,-26.986130144228092
451,OSBPL6,-26.96754007342379
452,SYT7,-26.95618325559105
453,SAAL1,-26.955132573896236
454,CELA2A,-26.941055649770675
455,IKBKE,-26.92724836343401
456,KIF11,-26.926736120884897
457,AURKA,-26.88505897476802
458,NRF1,-26.883089243906515
459,MYOZ2,-26.853594365390865
460,ORC1,-26.747336647594384
461,PPP1R1A,-26.709236057737456
462,HIST1H1C,-26.683348238197237
463,TNFRSF13C,-26.68025872230147
464,CRABP2,-26.675802245783075
465,BUB1,-26.619113560666275
466,ASAP1,-26.589638989460774
467,FSHB,-26.571871169904448
468,TLL1,-26.548155254732404
469,DNAJB3,-26.535078774213144
470,GFRA3,-26.502211088255212
471,CCNB1,-26.49688495680521
472,RASGRP4,-26.47120553047064
473,TEKT2,-26.410803134438193
474,PROM2,-26.352192039291488
475,ASRGL1,-26.313333949066504
476,CEP55,-26.31076107518605
477,ROBO1,-26.307013498080035
478,ELOVL3,-26.29805004412257
479,ABCD2,-26.29500990827962
480,CCL28,-26.276792948353478
481,SYNE1,-26.25470608683479
482,PAPOLB,-26.234657797652726
483,GALK1,-26.106678258932263
484,SCN1A,-26.058533578602233
485,DZIP1,-26.03367589298069
486,RHCG,-26.023491542048287
487,CENPK,-25.95385064312462
488,CLDN8,-25.94149393336928
489,RIBC2,-25.852135780392878
490,AURKC,-25.848472783072868
491,COL4A3,-25.84237579875029
492,HAL,-25.839366026906074
493,EGFR,-25.80250924356714
494,NFATC1,-25.79221058258827
495,MYOCD,-25.776863249101773
496,ABCD4,-25.773545390034773
497,UBXN10,-25.74855553911373
498,MGAT4C,-25.675441463136178
499,PLOD2,-25.666785835601182
500,CACNA1E,-25.60184961561201
501,RDH16,-25.600410524710128
502,GPRC5D,-25.589484207616565
503,AGPAT1,25.582820564891033
504,SDSL,25.58835763127385
505,DPEP3,25.604158035885323
506,GSX2,25.60569012533102
507,GREM2,25.65690235320109
508,AMMECR1,25.704173150606273
509,SMAD9,25.706109483268758
510,HSF2,25.724530159220194
511,ADRA2C,25.741530232224175
512,FRS3,25.776767564794078
513,FOXK1,25.78789172587193
514,STEAP4,25.790915709147306
515,TMEM8C,25.829592258890376
516,PDE3A,25.89568626811534
517,SYT5,25.90833384943859
518,DPYD,25.930266596866787
519,FGD6,25.945440150274244
520,TSGA13,25.976421950915253
521,EIF2AK3,25.982425259889435
522,SLAIN1,26.00500281069354
523,PTPN11,26.006965875415872
524,OBSL1,26.032165388480514
525,DBN1,26.03538682221636
526,TRAT1,26.06226840904696
527,CTSW,26.09194675964813
528,KRT13,26.125067795323325
529,LEP,26.136843472057404
530,RBFOX1,26.177146371553512
531,SCN8A,26.208429707205173
532,FMR1NB,26.22716724015647
533,CRISP2,26.274621832601262
534,SLC25A33,26.279835610801594
535,DNTT,26.364959120907226
536,ACR,26.368555467088093
537,MAP3K14,26.40620410912794
538,BMX,26.415601230883233
539,COL4A4,26.435063547653705
