Gene,Count
Dock9,9
Fstl5-Rapgef2,8
Exoc2,5
Tbc1d14,4
Erbb4,4
Vmn2r-ps159,4
Vmn2r123,4
Vmn2r-ps159-CHR_END,4
Pard3b,3
Ccser1,2
Zwint,1
A330049N07Rik,1
Pcdh15,1
Rsph14,1
Gnaz,1
Rab36,1
Bcr,1
Specc1l,1
Adora2a,1
Gm5779,1
Upb1,1
4933407G14Rik,1
Gucd1,1
Snrpd3,1
Lrrc75b,1
Ggt1,1
Ggt5,1
Susd2,1
Cabin1,1
Ddt,1
Gstt3,1
Gstt1,1
Gstt4,1
Gstt2,1
Mif,1
Derl3,1
Smarcb1,1
Mmp11,1
Chchd10,1
Gm867,1
Vpreb3,1
Gm5134,1
Mir6409,1
Zfp280b,1
Slc5a4b,1
Slc5a4a,1
Prmt2,1
Mir678,1
S100b,1
Dip2a,1
Pcnt,1
1700094J05Rik,1
2610028H24Rik,1
Ybey,1
Mcm3ap,1
Lss,1
4930483K19Rik,1
Spatc1l,1
Ftcd,1
Col6a2,1
Col6a1,1
Pcbp3,1
Gm10787,1
Slc19a1,1
Col18a1,1
Gm10941,1
Pofut2,1
Adarb1,1
Gm17769,1
Fam207a,1
Itgb2,1
Pttg1ip,1
Sumo3,1
Ube2g2,1
Mir1930,1
Tspear,1
Gm19402,1
Gm10272,1
Gm10024,1
Gm10142,1
Krtap12-1,1
Gm10100,1
Gm3238,1
Gm19668,1
Gm2696,1
Krtap10-4,1
Krtap10-10,1
Gm10318,1
Gm3285,1
1700009J07Rik,1
Lrrc3,1
Trpm2,1
1810043G02Rik,1
Pfkl,1
Aire,1
Dnmt3l,1
Icosl,1
D10Jhu81e,1
Pwp2,1
Trappc10,1
Agpat3,1
Mir7659,1
Rrp1,1
Mir6907,1
Cstb,1
Mir6410,1
Pdxk,1
Mir6908,1
Ilvbl,1
Syde1,1
Olfr1357,1
Casp14,1
Ccdc105,1
Slc1a6,1
Olfr1356,1
Olfr1355,1
Olfr1354,1
Olfr8,1
Olfr1353,1
Olfr1352,1
Olfr1351,1
Olfr57,1
2610008E11Rik,1
Vmn2r80,1
Vmn2r81,1
Vmn2r82,1
Vmn2r83,1
Plpp2,1
Mir6909,1
Mier2,1
Theg,1
C2cd4c,1
Shc2,1
Odf3l2,1
Madcam1,1
Tpgs1,1
Cdc34,1
Gzmm,1
Bc1,1
Bsg,1
Hcn2,1
Polrmt,1
Fgf22,1
Rnf126,1
Fstl3,1
Prss57,1
Palm,1
Misp,1
E130317F20Rik,1
Ptbp1,1
Plppr3,1
Mir6910,1
Prtn3,1
Elane,1
Cfd,1
Med16,1
R3hdm4,1
Kiss1r,1
Arid3a,1
Wdr18,1
Grin3b,1
Tmem259,1
Cnn2,1
Abca7,1
Hmha1,1
Polr2e,1
Gpx4,1
Sbno2,1
Stk11,1
Cbarp,1
Atp5d,1
Midn,1
Cirbp,1
1600002K03Rik,1
Efna2,1
Mum1,1
Ndufs7,1
Gamt,1
Dazap1,1
Mir6911,1
Rps15,1
Apc2,1
2310011J03Rik,1
Pcsk4,1
Reep6,1
Adamtsl5,1
Plk5,1
Mex3d,1
Mbd3,1
Uqcr11,1
Tcf3,1
Onecut3,1
Atp8b3,1
Rexo1,1
Klf16,1
Abhd17a,1
Adat3,1
Scamp4,1
Mir6912,1
Csnk1g2,1
Btbd2,1
Mknk2,1
Mob3a,1
Izumo4,1
Ap3d1,1
Dot1l,1
Plekhj1,1
Sf3a2,1
Amh,1
Jsrp1,1
Oaz1,1
Oaz1-ps,1
Mir1982,1
Lingo3,1
Lsm7,1
Sppl2b,1
Tmprss9,1
